epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1397.45,1.14651,0.58825,0.91767,0.8985,0.86566,0.92204,0.59602,1.09629,0.54676,0.90901,0.00067997,0.00067997,0.00067997
79,1416.25,1.15204,0.58719,0.91338,0.88863,0.86474,0.92216,0.59885,1.0985,0.54164,0.91045,0.000672675,0.000672675,0.000672675
80,1434.29,1.15101,0.57835,0.91021,0.89861,0.86337,0.92411,0.60117,1.09476,0.54373,0.91123,0.000665339,0.000665339,0.000665339
81,1452.1,1.15473,0.5832,0.91313,0.89179,0.87043,0.92464,0.60043,1.09789,0.53844,0.91254,0.000657963,0.000657963,0.000657963
82,1469.79,1.13349,0.58092,0.90892,0.88873,0.86536,0.92393,0.60168,1.10584,0.54028,0.91112,0.00065055,0.00065055,0.00065055
83,1487.62,1.14842,0.57604,0.90853,0.90768,0.85755,0.92691,0.6036,1.1019,0.53488,0.91372,0.000643101,0.000643101,0.000643101
84,1506.05,1.1479,0.58127,0.91053,0.89417,0.87428,0.92685,0.60311,1.09772,0.53668,0.91249,0.000635617,0.000635617,0.000635617
85,1525.25,1.14645,0.57984,0.91194,0.89476,0.86322,0.92257,0.59847,1.10864,0.54365,0.91232,0.000628101,0.000628101,0.000628101
86,1543.49,1.1455,0.58142,0.91092,0.89073,0.87209,0.9269,0.60565,1.09556,0.53228,0.90798,0.000620555,0.000620555,0.000620555
87,1561.52,1.13589,0.57343,0.91077,0.89398,0.86951,0.92816,0.60256,1.10375,0.53573,0.90968,0.000612981,0.000612981,0.000612981
88,1579.85,1.1538,0.58688,0.91827,0.90684,0.86228,0.92797,0.60387,1.09109,0.53006,0.90762,0.00060538,0.00060538,0.00060538
89,1598.4,1.13753,0.57795,0.90814,0.90119,0.86303,0.92116,0.60165,1.1082,0.54227,0.91023,0.000597754,0.000597754,0.000597754
90,1616.21,1.13718,0.56855,0.90559,0.89939,0.87108,0.92601,0.60314,1.09763,0.53757,0.90862,0.000590105,0.000590105,0.000590105
91,1633.97,1.1287,0.57062,0.90687,0.89494,0.87359,0.92521,0.60565,1.09058,0.53011,0.90804,0.000582435,0.000582435,0.000582435
92,1651.79,1.14128,0.57727,0.90578,0.89565,0.87291,0.9253,0.60544,1.09665,0.53347,0.90655,0.000574746,0.000574746,0.000574746
93,1670.11,1.14196,0.5783,0.91167,0.8881,0.85281,0.9173,0.59464,1.10696,0.55516,0.91294,0.00056704,0.00056704,0.00056704
94,1688.05,1.13182,0.56901,0.90536,0.89905,0.87496,0.92877,0.60739,1.0917,0.53172,0.90636,0.000559318,0.000559318,0.000559318
95,1706.65,1.12359,0.56489,0.90098,0.90619,0.8552,0.92652,0.61163,1.08721,0.53206,0.90876,0.000551584,0.000551584,0.000551584
96,1725.01,1.13036,0.569,0.90997,0.89918,0.86904,0.92714,0.60362,1.09267,0.53348,0.91102,0.000543837,0.000543837,0.000543837
97,1745,1.13583,0.57247,0.9066,0.90334,0.86405,0.92501,0.60835,1.09236,0.52952,0.90743,0.000536081,0.000536081,0.000536081
98,1763.83,1.13714,0.57446,0.90875,0.89788,0.86275,0.92527,0.609,1.08817,0.52909,0.90633,0.000528318,0.000528318,0.000528318
99,1781.88,1.12335,0.56634,0.90447,0.8912,0.87291,0.92595,0.60924,1.0893,0.52652,0.90636,0.000520548,0.000520548,0.000520548
100,1799.06,1.12198,0.56369,0.89996,0.89187,0.87019,0.92245,0.60784,1.08968,0.52881,0.90778,0.000512775,0.000512775,0.000512775
101,1816.47,1.11245,0.55712,0.90192,0.90031,0.86474,0.92715,0.61041,1.0824,0.52706,0.90607,0.000505,0.000505,0.000505
102,1833.82,1.12648,0.56242,0.90456,0.89558,0.86794,0.92404,0.60764,1.08945,0.5281,0.90904,0.000497225,0.000497225,0.000497225
103,1851.99,1.13079,0.56666,0.90399,0.88701,0.87199,0.92479,0.60701,1.09081,0.52786,0.90799,0.000489452,0.000489452,0.000489452
104,1872.09,1.11861,0.56398,0.9076,0.906,0.86099,0.92523,0.60654,1.09296,0.53041,0.90986,0.000481682,0.000481682,0.000481682
105,1889.94,1.12224,0.55584,0.90493,0.8983,0.87019,0.92716,0.60992,1.08107,0.51997,0.90797,0.000473919,0.000473919,0.000473919
106,1907.5,1.13284,0.55951,0.90643,0.8946,0.8753,0.92636,0.60662,1.09324,0.52554,0.91062,0.000466163,0.000466163,0.000466163
107,1925.55,1.11582,0.55881,0.90265,0.88932,0.88007,0.92592,0.60884,1.08403,0.52316,0.90811,0.000458416,0.000458416,0.000458416
